tanggal,Trading,Investing,IHSG
2016-01-04,1000000000.0,1000000000.0,988156301.5115491
2016-01-05,1002802493.2227863,1002802493.2227863,995121792.4308742
2016-01-06,1029096958.4229753,1029096958.4229753,1006291631.7070447
2016-01-07,1021689847.3000935,1021689847.3000935,989145127.2294146
2016-01-08,1019758535.7140901,1019758535.7140901,992603618.4733559
2016-01-11,1015296026.5318307,1015296026.5318307,974961155.2637032
2016-01-12,1026358378.5152752,1026261864.457628,985232469.1328473
2016-01-13,1028241331.9315307,1028039706.4401609,990614772.7842152
2016-01-14,1025761058.9118052,1025525520.4319856,985375329.1287438
2016-01-15,1020078187.0645101,1020126646.4814346,987732092.6132865
2016-01-18,1019183794.1935492,1019251139.3098129,978409305.1497326
2016-01-19,1009069176.063691,1008830478.8365362,980693146.0692058
2016-01-20,1000721063.2547039,1000677309.5446714,966774104.7675261
2016-01-21,1002230710.1454663,1002426369.6479149,963748244.7648892
2016-01-22,1017274396.1765037,1017276246.8104728,973053228.0349247
2016-01-25,1036401630.873269,1036534412.2369665,983761117.787051
2016-01-26,1040756374.2462733,1038272122.566117,984782886.5935223
2016-01-27,1048280828.9593215,1045537354.3502663,1000756020.0899311
2016-01-28,1041816357.3038077,1040221044.2596977,1004948427.9098063
2016-01-29,1043019724.4521664,1038896235.1698216,1007641232.2205174
2016-02-01,1048703257.9864328,1033957089.4346781,1009709183.9670873
2016-02-02,1033108766.3981141,1012001608.1349341,1001587273.3645616
2016-02-03,1043351860.528302,1023897173.1038772,1003480914.5937504
2016-02-04,1064594350.967813,1041447132.4099362,1018700728.1416484
2016-02-05,1114949434.281044,1079039475.2435052,1047766980.2619683
2016-02-09,1082024787.3902078,1051268526.4491564,1041147018.6312257
2016-02-10,1066889779.2579654,1040855767.276748,1033255922.8728162
2016-02-11,1071049280.4235955,1042372324.4492024,1042726687.705254
2016-02-12,1049828821.7920952,1026293557.5843971,1029306483.6579024
2016-02-15,1060510552.5042742,1036312451.7354466,1035055745.5972372
2016-02-16,1061552316.4804642,1041074693.6791376,1035989772.7793633
2016-02-17,1066076498.3940417,1036956686.229235,1040466194.8000355
2016-02-18,1063875382.7334735,1027724401.5727687,1043367318.8361061
