tanggal,Inv_No_Buffer,Inv_Buffer_8,Inv_Buffer_10,Hyb_No_Buffer,Hyb_Buffer_8,IHSG
2022-01-03,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1012002007.6123204
2022-01-04,1003820836.1249166,1003820836.1249166,1003820836.1249166,1003820836.1249166,1003820836.1249166,1016566805.0050932
2022-01-05,999123405.646052,999123405.646052,999123405.646052,999123405.646052,999123405.646052,1011545105.295856
2022-01-06,988689277.1274872,988689277.1274872,988689277.1274872,988689277.1274872,988689277.1274872,1010186556.7076344
2022-01-07,996926549.5490441,996926549.5490441,996926549.5490441,996926549.5490441,996926549.5490441,1017469118.5039879
2022-01-10,993004232.5490358,993004232.5490358,993004232.5490358,993004232.5490358,993004232.5490358,1015921670.499516
2022-01-11,970543034.6269714,970543034.6269714,970543034.6269714,970543034.6269714,970543034.6269714,1009369574.1459864
2022-01-12,962294255.2919284,962294255.2919284,962294255.2919284,962294255.2919284,962294255.2919284,1009232125.3556693
2022-01-13,969838620.9233187,969838620.9233187,969838620.9233187,969838620.9233187,969838620.9233187,1010946454.2808553
2022-01-14,967091658.296529,967091658.296529,967091658.296529,967091658.296529,967091658.296529,1016267368.29307
2022-01-17,961710445.0110339,961710445.0110339,961710445.0110339,961710445.0110339,961710445.0110339,1008925868.0995741
2022-01-18,958794928.9655828,958794928.9655828,958794928.9655828,958794928.9655828,958794928.9655828,1004220804.735237
2022-01-19,953233601.4595286,953233601.4595286,953233601.4595286,953233601.4595286,953233601.4595286,1000868655.5966272
2022-01-20,967060135.4379236,967060135.4379236,967060135.4379236,967060135.4379236,967060135.4379236,1006166068.3863335
2022-01-21,975095701.1978601,975095701.1978601,975095701.1978601,975095701.1978601,975095701.1978601,1021273573.5054483
2022-01-24,958790324.8557967,958790324.8557967,958790324.8557967,958790324.8557967,958790324.8557967,1010462121.5154064
2022-01-25,939156752.3826886,939156752.3826886,939156752.3826886,939156752.3826886,939156752.3826886,997253841.3749032
2022-01-26,970923736.3401322,970923736.3401322,970923736.3401322,970923736.3401322,970923736.3401322,1002210523.5064121
2022-01-27,972414526.7391849,972414526.7391849,972414526.7391849,972414526.7391849,972414526.7391849,1003780805.506255
2022-01-28,968269866.3014826,968269866.3014826,968269866.3014826,968269866.3014826,968269866.3014826,1008996223.494402
2022-01-31,951238317.5996042,951238317.5996042,951238317.5996042,951238317.5996042,951238317.5996042,1006815873.481873
2022-02-02,973545613.9702764,973545613.9702764,973545613.9702764,973545613.9702764,973545613.9702764,1018431111.7635111
2022-02-03,951301889.3945148,951301889.3945148,969126936.9283227,951968692.9946524,951968692.9946524,1014817409.5870161
2022-02-04,953462936.0498593,953462936.0498592,970680908.2996621,953530595.7226506,953530595.7226506,1022035472.7600815
2022-02-07,958927879.7825567,958927879.7825567,977792992.2191483,966151466.2206584,966151466.2206583,1033202037.8599505
2022-02-08,948792177.6147532,948792177.6147532,967869157.8162594,954648294.8779191,954648294.8779191,1030861553.3344307
2022-02-09,963146489.8578476,963146489.8578476,985511222.7032826,969534025.5862409,969534025.5862408,1037706710.6740032
2022-02-10,967627210.8307915,967627210.8307912,989785188.9146837,972149640.1015735,972149640.1015732,1036042053.1023839
2022-02-11,970493029.5703478,970493029.5703478,984000440.9253595,975015458.8411298,975015458.8411298,1034822065.3497087
2022-02-14,966292872.2973855,966292872.2973855,974846370.2108517,962325716.728142,962325716.728142,1022505348.9375521
2022-02-15,984185514.7604107,984185514.7604105,985113047.1941826,981880439.9334781,981880439.9334781,1033590734.7356966
2022-02-16,979501802.5742038,979501802.5742037,979408008.245945,979061867.4997191,979061867.4997191,1040074106.6940676
2022-02-17,975188393.3287678,975188393.3287675,971594895.335387,972950994.8659914,972950994.8659914,1037784331.4309947
2022-02-18,976994610.209047,976994610.2090468,977513320.1037579,981947002.0869323,981947002.0869322,1046545097.8822211
2022-02-21,971567554.4046134,971567554.4046133,969007509.4918501,983110561.0895615,983110561.0895613,1048085725.3426212
2022-02-22,971035217.7657282,971035217.7657282,967034653.6331226,978350372.5641944,978350372.5641944,1041865092.6037132
2022-02-23,984806110.9484046,984806110.9484046,973182851.8955407,992720425.4773434,992720425.4773433,1050680719.9529086
2022-02-24,981708254.7463516,981708254.7463516,957698907.1464425,980273059.2210585,980273059.2210585,1035158051.2815951
2022-02-25,986770123.451263,986770123.4512628,961125565.1087395,991326383.0025599,991326383.0025598,1045839542.2525293
2022-03-01,978028415.8925759,978028415.8925757,952791739.8919109,999428557.2967007,999428557.2967006,1050890970.6375579
2022-03-02,992068985.0740671,1002057034.9066316,958427754.7717924,997218625.7275118,997218625.727512,1042837983.9064815
2022-03-04,1009001310.4901178,1016613930.8127367,965194759.1166122,1014238842.2391387,1014238842.2391387,1051936663.8346583
2022-03-07,1019287623.0549778,1028556213.438122,979311214.4628958,1024578587.4567571,1024578587.4567571,1042938809.3405869
2022-03-08,1002753485.4274726,1015047560.59021,983563292.388583,1007958656.9002701,1007958656.9002701,1034605883.7571709
2022-03-09,1020889632.6901641,1030894539.5696186,986032341.0378811,1026188872.8111303,1026188872.8111303,1042236589.8465823
2022-03-10,1012608278.2045698,1023908000.5604571,981458175.8836868,1017864522.3401741,1017864522.3401741,1051280705.4221843
2022-03-11,1024305484.0688407,1030712957.211436,989813342.692181,1029622425.7206528,1029622425.7206528,1051067266.8745451
2022-03-14,1006823970.5613099,1012178341.6053817,985689478.3841223,1012050158.3569359,1012050158.356936,1055561783.0088387
2022-03-15,989586047.000871,996187165.3790957,974689267.5463729,994722757.7679671,994722757.7679671,1050396629.465047
2022-03-16,1013204305.8983405,1017690654.15312,991994427.9140389,1018463573.3757902,1018463573.3757902,1061664019.9990215
2022-03-17,1011269685.3132517,1018790060.0084934,984838042.062569,1016518963.6443229,1016518963.6443229,1057411188.3611865
2022-03-18,1014368160.0546306,1019419422.2784147,986607629.2677308,1019633543.6256771,1019633543.6256771,1055980949.9238621
2022-03-21,1016790638.0759475,1029638632.5867622,997570842.66176,1022068593.3477468,1022068593.3477468,1056013792.3262949
