tanggal,Investing_Optimal,Investing_Growth,Hybrid_Optimal,Hybrid_Growth,Trading_Optimal,Trading_Growth,IHSG
2022-01-03,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1012002007.6123204
2022-01-04,1003820836.1249166,1003820836.1249166,1003820836.1249166,1003820836.1249166,1003820836.1249166,1003820836.1249166,1016566805.0050932
2022-01-05,999123405.646052,999123405.646052,999123405.646052,999123405.646052,999123405.646052,999123405.646052,1011545105.295856
2022-01-06,988689277.1274872,988689277.1274872,988689277.1274872,988689277.1274872,988689277.1274872,988689277.1274872,1010186556.7076344
2022-01-07,996926549.5490441,996926549.5490441,996926549.5490441,996926549.5490441,996926549.5490441,996926549.5490441,1017469118.5039879
2022-01-10,993004232.5490358,993004232.5490358,993004232.5490358,993004232.5490358,993004232.5490358,993004232.5490358,1015921670.499516
2022-01-11,970543034.6269714,970543034.6269714,970543034.6269714,970543034.6269714,999560266.3688803,999560266.3688803,1009369574.1459864
2022-01-12,962294255.2919284,962294255.2919284,962294255.2919284,962294255.2919284,998989996.1804461,998989996.1804461,1009232125.3556693
2022-01-13,969838620.9233187,969838620.9233187,969838620.9233187,969838620.9233187,1007342177.0536177,1007342177.0536177,1010946454.2808553
2022-01-14,967091658.296529,967091658.296529,967091658.296529,967091658.296529,1012122535.0232202,1012122535.0232202,1016267368.29307
2022-01-17,961710445.0110339,961710445.0110339,961710445.0110339,961710445.0110339,1010212830.2256279,1010212830.2256279,1008925868.0995741
2022-01-18,958794928.9655828,958794928.9655828,958794928.9655828,958794928.9655828,1008180269.1978717,1008180269.1978717,1004220804.735237
2022-01-19,953233601.4595286,953233601.4595286,953233601.4595286,953233601.4595286,999150256.5392226,999150256.5392226,1000868655.5966272
2022-01-20,967060135.4379236,967060135.4379236,967060135.4379236,967060135.4379236,1009663999.2260817,1009663999.2260817,1006166068.3863335
2022-01-21,975095701.1978601,975095701.1978601,975095701.1978601,975095701.1978601,1021133388.2463712,1021133388.2463712,1021273573.5054483
2022-01-24,958790324.8557967,958790324.8557967,958790324.8557967,958790324.8557967,1015887506.5539997,1015887506.5539997,1010462121.5154064
2022-01-25,939156752.3826886,939156752.3826886,939156752.3826886,939156752.3826886,982596045.4052508,982596045.4052508,997253841.3749032
2022-01-26,970923736.3401322,970923736.3401322,970923736.3401322,970923736.3401322,1014546169.6673543,1014546169.6673543,1002210523.5064121
