tanggal,Trading,Investing,IHSG
2022-01-03,1000000000.0,1000000000.0,1012002007.6123204
2022-01-04,1003820836.1249166,1003820836.1249166,1016566805.0050932
2022-01-05,999123405.646052,999123405.646052,1011545105.295856
2022-01-06,988689277.1274872,988689277.1274872,1010186556.7076344
2022-01-07,996926549.5490441,996926549.5490441,1017469118.5039879
2022-01-10,993004232.5490358,993004232.5490358,1015921670.499516
2022-01-11,999560266.3688803,970543034.6269714,1009369574.1459864
2022-01-12,998989996.1804461,962294255.2919284,1009232125.3556693
2022-01-13,1007342177.0536177,969838620.9233187,1010946454.2808553
2022-01-14,1012122535.0232202,967091658.296529,1016267368.29307
2022-01-17,1010212830.2256279,961710445.0110339,1008925868.0995741
2022-01-18,1003398836.6020504,958794928.9655828,1004220804.735237
2022-01-19,1000662404.3730438,953233601.4595286,1000868655.5966272
2022-01-20,1009557579.0188489,967060135.4379236,1006166068.3863335
2022-01-21,1022039708.747354,975095701.1978601,1021273573.5054483
2022-01-24,1013628912.5664805,958790324.8557967,1010462121.5154064
2022-01-25,1001463760.864181,939156752.3826886,997253841.3749032
2022-01-26,1015514454.939404,970923736.3401322,1002210523.5064121
2022-01-27,1025432447.7099899,972414526.7391849,1003780805.506255
2022-01-28,1023015757.7061024,968269866.3014826,1008996223.494402
2022-01-31,1005276816.2068572,951238317.5996042,1006815873.481873
2022-02-02,1003596962.7929032,973545613.9702764,1018431111.7635111
2022-02-03,1004682604.2627599,969702261.7660751,1014817409.5870161
2022-02-04,1000443604.2716914,971906896.7873826,1022035472.7600815
2022-02-07,1009926947.3955774,978481305.7907424,1033202037.8599505
2022-02-08,1006348361.1002759,973649724.8699802,1030861553.3344307
2022-02-09,1025350054.7268271,987726776.8784419,1037706710.6740032
2022-02-10,1028712884.7380843,999507346.8394945,1036042053.1023839
2022-02-11,1026570063.186221,992534246.3578538,1034822065.3497087
2022-02-14,1023458875.0641096,986445183.9213948,1022505348.9375521
2022-02-15,1029393722.3320882,998276746.791183,1033590734.7356966
2022-02-16,1025395918.7605736,990770426.1803285,1040074106.6940676
2022-02-17,1019762566.6071157,983494968.6202312,1037784331.4309947
2022-02-18,1027869501.0104828,990752349.2254858,1046545097.8822211
2022-02-21,1021241780.715821,979681573.8949859,1048085725.3426212
2022-02-22,1020146087.1186845,975030795.2559905,1041865092.6037132
2022-02-23,1039429951.2757757,982055590.0376718,1050680719.9529086
2022-02-24,1054069929.621107,965194988.4639099,1035158051.2815951
2022-02-25,1055248501.616225,971950260.7088867,1045839542.2525293
2022-03-01,1069689076.193694,961664478.034042,1050890970.6375579
2022-03-02,1071183412.411328,994533473.4101236,1042837983.9064815
2022-03-04,1134301762.9250846,1020066556.9713851,1051936663.8346583
2022-03-07,1155393232.426754,1028363099.8814045,1042938809.3405869
2022-03-08,1165584062.3743496,987226560.1007936,1034605883.7571709
2022-03-09,1165038444.6335669,1006197289.4460105,1042236589.8465823
2022-03-10,1151942396.2492507,985502233.0725925,1051280705.4221843
2022-03-11,1165126016.359987,991514999.7654792,1051067266.8745451
2022-03-14,1146313617.3268714,974189850.875543,1055561783.0088387
2022-03-15,1138781520.542321,953570581.3457664,1050396629.465047
2022-03-16,1158468034.5605085,974939327.4714283,1061664019.9990215
2022-03-17,1135665282.170446,971494929.5500045,1057411188.3611865
2022-03-18,1124517899.483444,974071739.2436436,1055980949.9238621
2022-03-21,1134437768.862134,967633836.5612755,1056013792.3262949
2022-03-22,1126502272.909099,972251082.3704404,1062943465.1032795
2022-03-23,1125181690.6209,977091138.9585221,1062228864.8390574
2022-03-24,1145773116.362719,995757460.0014533,1070362437.7810695
2022-03-25,1135970847.537077,982557314.4511665,1063203164.7324494
2022-03-28,1162465908.7186935,996435860.6063145,1070349982.8745036
2022-03-29,1145396043.2309408,978215000.2513553,1064593443.6778747
2022-03-30,1150074839.4266162,975318194.1243633,1070894588.4913698
2022-03-31,1143396758.9715426,971326848.2329663,1073665805.2022959
2022-04-01,1148256089.107934,968169716.5785164,1074776886.6588676
2022-04-04,1163466186.1003523,974486012.6983888,1080464182.5058978
2022-04-05,1174586456.399752,978113867.4755306,1085335088.8820684
2022-04-06,1165325648.3378084,964691530.862102,1078641911.0571399
2022-04-07,1161412186.261722,968310711.2387667,1082157011.8899877
2022-04-08,1188154397.2629642,981768451.1770805,1094830027.593549
2022-04-11,1164863656.1946216,963749855.1237211,1093760981.4466374
2022-04-12,1179424499.4343333,965464915.6872939,1095429123.4266415
2022-04-13,1195041876.2136903,971093374.7589595,1102716429.9493058
2022-04-14,1191030631.9103646,965955969.4967077,1098579844.1060863
2022-04-18,1199192262.2557895,985460766.2877663,1104616173.8823576
2022-04-19,1187928563.3675382,980662288.2748014,1093068325.541603
2022-04-20,1199667763.4613566,992711250.8225125,1097339320.584847
2022-04-21,1220661018.2021449,1007729695.1351942,1104753400.263629
2022-04-22,1221576650.4672065,1005612390.4379543,1097072726.2752564
2022-04-25,1229555752.876105,1011471127.1291156,1095611054.0261228
2022-04-26,1252243631.2262397,1017309701.2053103,1098066746.437378
2022-04-27,1249874752.1763816,1017361666.6169707,1092693640.4357438
2022-04-28,1261191180.847324,1022009346.6674325,1097575000.0370684
2022-05-09,1197234831.6502311,976886433.4642837,1049116072.31556
2022-05-10,1235993012.6721117,1010047217.9070454,1035457784.5390129
2022-05-11,1269247343.9704137,1031118754.6612532,1034912585.8313577
2022-05-12,1220241205.386426,988536999.1841421,1002061880.1274554
2022-05-13,1246788447.0371997,1007617048.1133187,1001781496.457024
2022-05-17,1249351856.281865,1017913331.4861941,1008837645.8447319
2022-05-18,1282627809.7148428,1043209418.0754863,1031452494.1691762
2022-05-19,1261470471.9829836,1026462709.8715262,1035995421.3391101
2022-05-20,1276984220.9579554,1039400474.0960495,1050390402.011764
2022-05-23,1259698099.772038,1025286316.265401,1038643349.302303
2022-05-24,1275659572.2381816,1035253205.0230283,1049782632.2258847
2022-05-25,1267255995.7651336,1032789486.5201323,1045130947.0325445
2022-05-27,1288044520.2835143,1050637178.3404964,1066805153.3658645
2022-05-30,1282089714.803306,1047591444.9699347,1068522225.335949
2022-05-31,1303666835.7141318,1056456430.0542574,1085437026.361403
2022-06-02,1293670021.6822984,1048832843.5313525,1085399513.3690078
2022-06-03,1300852859.7302513,1045680984.2232072,1090597879.9969754
2022-06-06,1290801316.9640195,1051378680.9596896,1077482863.3830197
2022-06-07,1290446214.712735,1050484351.4548069,1084233719.2871642
2022-06-08,1310729669.5040934,1078042676.9586315,1092169792.9964876
2022-06-09,1289749260.2365916,1059953169.3859323,1090578011.4555488
2022-06-10,1258389004.3368113,1027088300.4996588,1075974559.3706121
2022-06-13,1245131469.5214796,1013414771.7251849,1062126630.8143286
2022-06-14,1255775602.3240814,1032518517.0117586,1070392314.7295581
2022-06-15,1232505658.668718,1023390617.8547723,1063889074.2297605
2022-06-16,1247602351.408825,1043082564.0459759,1070459778.8067904
2022-06-17,1229056765.9940975,1035557708.9824097,1053248284.1142116
2022-06-20,1252314311.4147408,1060895299.7039548,1059231977.082972
2022-06-21,1262838470.8716815,1069870356.6478175,1069510018.0447873
2022-06-22,1239137509.4822907,1043055529.542277,1060436618.6114856
2022-06-23,1246952012.6900592,1047151504.7748989,1062555583.7273681
2022-06-24,1244339761.9601843,1043322925.875871,1069337873.4433221
2022-06-27,1235197804.9152122,1036412662.9826119,1065256370.9071176
2022-06-28,1244445659.3473735,1047467677.7495068,1062280612.0103852
2022-06-29,1218346179.3259463,1029503722.2566941,1054065785.6302999
2022-06-30,1207264603.7917764,1015284325.386533,1049394083.6228359
2022-07-01,1190466018.9880626,1000534733.4963373,1031591277.4137684
2022-07-04,1170460902.9455082,970502463.0718956,1008033711.2804387
2022-07-05,1189747372.332755,999607246.3427154,1017765219.0803238
2022-07-06,1169691989.8073034,982832689.870474,1009132708.5121874
2022-07-07,1167702581.3497417,981980119.5150701,1010070533.3220648
2022-07-08,1170851424.4875703,983484334.1167676,1023375857.9428943
2022-07-11,1163250136.9684072,976364909.3623564,1020631626.8628612
2022-07-12,1166903980.6186166,979351895.1096239,1020046913.4813986
2022-07-13,1155956175.392296,972710310.248357,1008309795.0426507
2022-07-14,1182142904.1426759,983963681.5537797,1015764204.895075
2022-07-15,1165464965.6770387,971528526.4145604,1009966964.8430609
2022-07-18,1180525988.0777164,985374055.9525816,1011082642.7532462
2022-07-19,1184176729.411311,994832619.8813128,1022749183.3881202
2022-07-20,1220208593.204711,1021670394.7257667,1043800792.6658394
2022-07-21,1217930208.1634202,1022996552.7372601,1042189513.265217
2022-07-22,1211326249.4061332,1019189293.2320257,1045655980.6533786
2022-07-25,1207959532.6628754,1011651994.9498618,1041320486.9868468
2022-07-26,1211540848.0145326,1018601479.3735149,1043314013.4008864
2022-07-27,1209325115.9809523,1021306939.548083,1047364675.2160705
2022-07-28,1201122997.0103314,1020580297.0393881,1056262149.094128
2022-07-29,1220958355.2845275,1026747930.4425235,1055397645.1330229
2022-08-01,1235980374.2809231,1039153182.3626107,1058079008.5894375
2022-08-02,1240423448.0229342,1041136772.0308737,1061020590.6294621
2022-08-03,1261811571.079927,1059090716.2482584,1069899308.0113221
2022-08-04,1252130394.2686152,1050955140.495721,1071525933.6361063
2022-08-05,1262343909.8307495,1059533607.0299611,1075671934.7955987
2022-08-08,1260311320.4892902,1057816053.7580702,1076005103.5462382
2022-08-09,1270853664.0161986,1066812858.1598432,1078439074.0073514
2022-08-10,1290211304.0700245,1082695022.5062954,1075911988.292388
2022-08-11,1295799061.696142,1087437905.6088972,1087170111.7827866
2022-08-12,1294806592.7034867,1086546531.161116,1082446959.1493893
2022-08-15,1300506318.3504715,1091268287.666412,1076980886.1666024
2022-08-16,1301172467.261728,1091695483.007111,1083081047.339024
2022-08-18,1300984201.8835711,1091740812.4592323,1091144042.4771624
