tanggal,Trading_Port,Investing_Port,Hybrid_Port,IHSG
2022-01-03,1000000000.0,1000000000.0,1000000000.0,1012002007.6123204
2022-01-04,1017633785.7200875,1017633785.7200875,1017633785.7200875,1016566805.0050932
2022-01-05,1009084379.8410151,1009084379.8410151,1009084379.8410151,1011545105.295856
2022-01-06,1010784662.4475298,1010784662.4475298,1010784662.4475298,1010186556.7076344
2022-01-07,1023863951.0321839,1023863951.0321839,1023863951.0321839,1017469118.5039879
2022-01-10,1017836413.90599,1017836413.90599,1017836413.90599,1015921670.499516
2022-01-11,1017827010.4248616,1017877007.677026,1017877007.677026,1009369574.1459864
2022-01-12,1022908990.9655963,1022895254.7091093,1022895254.7091093,1009232125.3556693
2022-01-13,1026354369.4884605,1026347985.0142616,1026347985.0142616,1010946454.2808553
2022-01-14,1034021889.539564,1034065948.2851119,1034065948.2851119,1016267368.29307
2022-01-17,1035911156.295481,1035962677.1036838,1035962677.1036838,1008925868.0995741
2022-01-18,1030236128.8683844,1034100731.3302665,1034100731.3302665,1004220804.735237
2022-01-19,1019021885.7937001,1025607813.2676876,1025607813.2676876,1000868655.5966272
2022-01-20,1021774340.9363183,1032553279.9451764,1032553279.9451764,1006166068.3863335
2022-01-21,1040076819.6135572,1048921068.7928915,1048921068.7928915,1021273573.5054483
2022-01-24,1028762210.0440859,1038015907.1645279,1038015907.1645279,1010462121.5154064
2022-01-25,988281394.76228,1024143868.5747229,1024143868.5747229,997253841.3749032
2022-01-26,1010031715.3120955,1044623980.3798225,1044623980.3798225,1002210523.5064121
2022-01-27,1003419976.8991288,1048197984.130152,1048197984.130152,1003780805.506255
2022-01-28,1017433955.2815193,1058707506.9532249,1058707506.9532249,1008996223.494402
2022-01-31,1014558272.4633795,1037692885.974061,1037692885.974061,1006815873.481873
2022-02-02,1000921328.3356687,1042956783.3305475,1042956783.3305475,1018431111.7635111
2022-02-03,1006702648.9380387,1043124079.1141496,1039942625.6123949,1014817409.5870161
2022-02-04,1007864923.8855821,1049396585.7904727,1044054046.3657408,1022035472.7600815
2022-02-07,1021112489.5344715,1066172205.5426747,1066334461.0923811,1033202037.8599505
2022-02-08,1036192793.2373872,1070214826.5311475,1075344858.5579638,1030861553.3344307
