tanggal,Trade_No_Buffer,Trade_Buffer_8,Trade_Buffer_10,Trade_Buffer_12,IHSG
2022-01-03,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1012002007.6123204
2022-01-04,1003820836.1249166,1003820836.1249166,1003820836.1249166,1003820836.1249166,1016566805.0050932
2022-01-05,999123405.646052,999123405.646052,999123405.646052,999123405.646052,1011545105.295856
2022-01-06,988689277.1274872,988689277.1274872,988689277.1274872,988689277.1274872,1010186556.7076344
2022-01-07,996926549.5490441,996926549.5490441,996926549.5490441,996926549.5490441,1017469118.5039879
2022-01-10,993004232.5490358,993004232.5490358,993004232.5490358,993004232.5490358,1015921670.499516
2022-01-11,999560266.3688802,999560266.3688803,999560266.3688803,999560266.3688803,1009369574.1459864
2022-01-12,998989996.1804461,998989996.1804461,998989996.1804461,998989996.1804461,1009232125.3556693
2022-01-13,1007342177.0536177,1007342177.0536177,1007342177.0536177,1007342177.0536177,1010946454.2808553
2022-01-14,1012122535.0232202,1012122535.0232202,1012122535.0232202,1012122535.0232202,1016267368.29307
2022-01-17,1010212830.2256279,1010212830.2256279,1010212830.2256279,1010212830.2256279,1008925868.0995741
2022-01-18,1010169464.274648,1008180269.1978717,1008180269.1978717,1003398836.6020504,1004220804.735237
2022-01-19,998414303.7340299,999150256.5392226,999150256.5392226,1000662404.3730438,1000868655.5966272
2022-01-20,1004765669.0974615,1009663999.2260817,1009663999.2260817,1009557579.0188489,1006166068.3863335
2022-01-21,1021110795.3501706,1021133388.2463712,1021133388.2463712,1022039708.747354,1021273573.5054483
2022-01-24,1012156300.7262346,1015887506.5539997,1015887506.5539997,1013628912.5664805,1010462121.5154064
2022-01-25,983827262.3479944,982596045.4052508,982596045.4052508,987902849.1001005,997253841.3749032
2022-01-26,1015817347.0094178,1014546169.6673543,1014546169.6673543,1002681344.4329278,1002210523.5064121
2022-01-27,1023148825.5416723,1021868510.0097655,1021868510.0097655,1010814805.351201,1003780805.506255
2022-01-28,1045108878.860999,1043801125.9619241,1043801125.9619241,1020785813.5872539,1008996223.494402
2022-01-31,1032320306.145743,1031028520.1169758,1031028520.1169758,1010555283.5361218,1006815873.481873
2022-02-02,1031248774.6873906,1022239806.1107688,1020827755.8975635,1003540841.878832,1018431111.7635111
2022-02-03,1028461048.4442174,1021470459.3720608,1020245402.5292354,1005988659.4228952,1014817409.5870161
2022-02-04,1025585626.1167529,1018596850.2181864,1015896582.4564022,1004986630.2946837,1022035472.7600815
2022-02-07,1035050514.5729808,1026712713.8922634,1023668242.2769351,1021846342.3932829,1033202037.8599505
2022-02-08,1032432143.0615686,1025725786.1232258,1023108574.1017848,1014797448.2421588,1030861553.3344307
2022-02-09,1044707023.4010212,1034991855.7832961,1032350416.0240532,1028903841.2786198,1037706710.6740032
2022-02-10,1045709843.3974383,1044429225.0650759,1041771835.4054985,1029785374.9470042,1036042053.1023839
2022-02-11,1048562480.9258354,1046961084.0288274,1044292492.5418932,1033460931.4898163,1034822065.3497087
2022-02-14,1038829601.6826313,1044484540.8639228,1041816948.1830837,1035011635.6461587,1022505348.9375521
2022-02-15,1045318739.6541779,1043482169.1949594,1040823224.5993867,1053324093.2317764,1033590734.7356966
2022-02-16,1040722889.2980788,1035731944.5609864,1033092744.1058848,1046962425.8065224,1040074106.6940676
2022-02-17,1031218436.6182317,1028714122.2609047,1026092799.9262656,1041953573.4388707,1037784331.4309947
2022-02-18,1039799293.6253428,1036151216.188319,1033510945.5713961,1047213090.9404399,1046545097.8822211
