tanggal,Trading_Old,Trading_Optimal,Investing_Old,Investing_Optimal,Hybrid_Old,Hybrid_Optimal,IHSG
2022-01-03,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1012002007.6123204
2022-01-04,1017633785.7200875,1003820836.1249166,1017633785.7200875,1003820836.1249166,1017633785.7200875,1003820836.1249166,1016566805.0050932
2022-01-05,1009084379.8410151,999123405.646052,1009084379.8410151,999123405.646052,1009084379.8410151,999123405.646052,1011545105.295856
2022-01-06,1010784662.4475298,988689277.1274872,1010784662.4475298,988689277.1274872,1010784662.4475298,988689277.1274872,1010186556.7076344
2022-01-07,1023863951.0321839,996926549.5490441,1023863951.0321839,996926549.5490441,1023863951.0321839,996926549.5490441,1017469118.5039879
2022-01-10,1017836413.90599,993004232.5490358,1017836413.90599,993004232.5490358,1017836413.90599,993004232.5490358,1015921670.499516
2022-01-11,1017827010.4248616,999560266.3688803,1017877007.677026,970543034.6269714,1017877007.677026,970543034.6269714,1009369574.1459864
2022-01-12,1022908990.9655963,998989996.1804461,1022895254.7091093,962294255.2919284,1022895254.7091093,962294255.2919284,1009232125.3556693
2022-01-13,1026354369.4884605,1007342177.0536177,1026347985.0142616,969838620.9233187,1026347985.0142616,969838620.9233187,1010946454.2808553
2022-01-14,1034021889.539564,1012122535.0232202,1034065948.2851119,967091658.296529,1034065948.2851119,967091658.296529,1016267368.29307
2022-01-17,1035911156.295481,1010212830.2256279,1035962677.1036838,961710445.0110339,1035962677.1036838,961710445.0110339,1008925868.0995741
2022-01-18,1030236128.8683844,1008180269.1978717,1034100731.3302665,958794928.9655828,1034100731.3302665,958794928.9655828,1004220804.735237
2022-01-19,1019021885.7937001,999150256.5392226,1025607813.2676876,953233601.4595286,1025607813.2676876,953233601.4595286,1000868655.5966272
2022-01-20,1021774340.9363183,1009663999.2260817,1032553279.9451764,967060135.4379236,1032553279.9451764,967060135.4379236,1006166068.3863335
2022-01-21,1040076819.6135572,1021133388.2463712,1048921068.7928915,975095701.1978601,1048921068.7928915,975095701.1978601,1021273573.5054483
2022-01-24,1028762210.0440859,1015887506.5539997,1038015907.1645279,958790324.8557967,1038015907.1645279,958790324.8557967,1010462121.5154064
2022-01-25,988281394.76228,982596045.4052508,1024143868.5747229,939156752.3826886,1024143868.5747229,939156752.3826886,997253841.3749032
2022-01-26,1010031715.3120955,1014546169.6673543,1044623980.3798225,970923736.3401322,1044623980.3798225,970923736.3401322,1002210523.5064121
2022-01-27,1003419976.8991288,1021868510.0097655,1048197984.130152,972414526.7391849,1048197984.130152,972414526.7391849,1003780805.506255
2022-01-28,1017433955.2815193,1043801125.9619241,1058707506.9532249,968269866.3014826,1058707506.9532249,968269866.3014826,1008996223.494402
2022-01-31,1014558272.4633795,1031028520.1169758,1037692885.974061,951238317.5996042,1037692885.974061,951238317.5996042,1006815873.481873
2022-02-02,1000921328.3356687,1020827755.8975635,1042956783.3305475,973545613.9702764,1042956783.3305475,973545613.9702764,1018431111.7635111
2022-02-03,1006702648.9380387,1020245402.5292354,1043124079.1141496,951301889.3945148,1039942625.6123949,951968692.9946524,1014817409.5870161
2022-02-04,1007864923.8855821,1015896582.4564022,1049396585.7904727,953462936.0498592,1044054046.3657408,953530595.7226506,1022035472.7600815
2022-02-07,1021112489.5344715,1023668242.2769351,1066172205.5426747,958927879.7825567,1066334461.0923811,966151466.2206583,1033202037.8599505
2022-02-08,1036192793.2373872,1023108574.1017848,1070214826.5311475,948792177.6147532,1075344858.5579638,954648294.8779191,1030861553.3344307
2022-02-09,1047863933.3650033,1032350416.0240532,1082800333.3598373,963146489.8578476,1087385302.1084845,969534025.5862408,1037706710.6740032
2022-02-10,1047058842.9549532,1041771835.4054985,1091698639.4945633,967627210.8307912,1086610366.9940197,972149640.1015732,1036042053.1023839
2022-02-11,1048751601.6263607,1044292492.5418932,1092911911.5860438,970493029.5703478,1088323639.762454,975015458.8411298,1034822065.3497087
2022-02-14,1038536982.3513486,1041816948.1830837,1087102064.7100136,966292872.2973855,1077812457.6869147,962325716.728142,1022505348.9375521
2022-02-15,1038629227.0886447,1040823224.5993867,1102513582.4109511,984185514.7604105,1097301295.59124,981880439.9334781,1033590734.7356966
2022-02-16,1027717754.3848897,1033092744.1058848,1103517503.1788914,979501802.5742037,1099460622.3816204,979061867.4997191,1040074106.6940676
2022-02-17,1023095205.7340628,1026092799.9262656,1099562881.467336,975188393.3287675,1093041723.9577868,972950994.8659914,1037784331.4309947
2022-02-18,1030401049.9686466,1033510945.5713961,1103394055.4144773,976994610.2090468,1105234932.6280284,981947002.0869322,1046545097.8822211
2022-02-21,1021299676.5801108,1021489572.1695402,1103465984.5937717,971567554.4046133,1114017214.7373097,983110561.0895613,1048085725.3426212
2022-02-22,1030232985.0920228,1008674230.4296548,1091988840.9078262,971035217.7657282,1102119963.0011709,978350372.5641944,1041865092.6037132
2022-02-23,1042937713.6362661,1027640368.2360432,1106051206.9767709,984806110.9484046,1114325859.3155205,992720425.4773433,1050680719.9529086
2022-02-24,1032262928.2284489,1038015955.009732,1086922209.2578244,981708254.7463516,1085643998.852564,980273059.2210585,1035158051.2815951
2022-02-25,1045495839.51623,1045847811.8177148,1106380037.9100049,986770123.4512628,1106636287.1747758,991326383.0025598,1045839542.2525293
2022-03-01,1049842825.4437848,1061091699.5799358,1107410085.0888057,978028415.8925757,1124202843.11691,999428557.2967006,1050890970.6375579
2022-03-02,1043047076.1033452,1055145622.4364467,1115986010.6117597,1002057034.9066316,1088182787.5245,997218625.727512,1042837983.9064815
2022-03-04,1065739154.1622369,1113334617.6040523,1126677153.2238386,1016613930.8127367,1104605189.0368612,1014238842.2391387,1051936663.8346583
2022-03-07,1082661280.128095,1131155878.0363574,1119936326.1181293,1028556213.438122,1092208612.059489,1024578587.4567571,1042938809.3405869
2022-03-08,1050586195.2627218,1145206698.0302732,1113395953.2834718,1015047560.59021,1095283317.663139,1007958656.9002701,1034605883.7571709
2022-03-09,1069663192.3306154,1145963782.649122,1134714449.9265583,1030894539.5696186,1114554493.1580997,1026188872.8111303,1042236589.8465823
2022-03-10,1061642284.5337214,1137475693.5454125,1132655727.4848003,1023908000.5604571,1113997089.1722155,1017864522.3401741,1051280705.4221843
2022-03-11,1073862179.1201453,1154815737.1842024,1142312416.4792368,1030712957.211436,1121898654.7773767,1029622425.7206528,1051067266.8745451
2022-03-14,1058244673.3213947,1151258155.0649638,1137787467.048188,1012178341.6053817,1116165132.484347,1012050158.356936,1055561783.0088387
2022-03-15,1058290139.3676983,1144307547.8122406,1126731639.94792,996187165.3790957,1108691473.6853247,994722757.7679671,1050396629.465047
2022-03-16,1085557904.57727,1166505958.502931,1154933762.047177,1017690654.15312,1131473630.8594155,1018463573.3757902,1061664019.9990215
2022-03-17,1077768961.4863253,1144257325.282874,1147172764.6950126,1018790060.0084934,1124317073.4704275,1016518963.6443229,1057411188.3611865
2022-03-18,1073857384.0430586,1144085091.4698975,1143323297.4544122,1019419422.2784147,1124163687.584429,1019633543.6256771,1055980949.9238621
2022-03-21,1080334587.2287102,1145349942.0129244,1150387806.483754,1029638632.5867622,1121761796.7613487,1022068593.3477468,1056013792.3262949
2022-03-22,1096325023.949465,1150581105.084612,1152392690.8337896,1033296265.9092736,1122577200.7289498,1023839475.2969373,1062943465.1032795
2022-03-23,1083986196.1103919,1147670031.0835733,1145814088.042435,1030119399.2153311,1121604982.3109887,1019131923.5023988,1062228864.8390574
2022-03-24,1106469315.1818101,1167457772.3153043,1164908466.1001227,1048466697.9018189,1143594325.7486663,1040821002.2713195,1070362437.7810695
2022-03-25,1104411121.7868109,1154942587.8754017,1157502259.0836942,1029137559.9993329,1127154035.9055173,1023454692.7278224,1063203164.7324494
2022-03-28,1124706414.6576679,1182773148.3188155,1185238983.1454773,1047316996.3620837,1151544851.773463,1047865708.8743627,1070349982.8745036
2022-03-29,1107813340.6487696,1163064600.9933586,1170401257.064138,1029590113.5906832,1136343389.848344,1025583977.706909,1064593443.6778747
2022-03-30,1111829907.639407,1161758049.681224,1189163469.3261142,1029481011.1437175,1142256186.9151726,1027463313.9090421,1070894588.4913698
2022-03-31,1118199127.7882245,1158643893.591732,1178231725.4947257,1025911945.3202738,1134452827.9396365,1019467396.0264457,1073665805.2022959
2022-04-01,1123696705.7610545,1170131456.0055811,1181208216.5285122,1029624071.8856356,1144438430.1681495,1022638405.2361188,1074776886.6588676
2022-04-04,1140296330.7523222,1178127957.1284022,1195892349.8273377,1045369805.7330161,1152736457.655287,1039994989.4055942,1080464182.5058978
2022-04-05,1147997102.3836436,1214875509.4511223,1208171291.1740804,1053562630.6082517,1161643222.9380817,1048140033.0229092,1085335088.8820684
2022-04-06,1134675684.2351909,1215599180.9364097,1197870950.8752449,1045406303.5345587,1139880289.079103,1040017676.1187032,1078641911.0571399
2022-04-07,1140021933.7300224,1217305701.744618,1193961191.9204795,1041828351.5481648,1146834612.568305,1036466924.4231119,1082157011.8899877
2022-04-08,1171668218.8287153,1259374482.425691,1215483128.6282668,1065984707.9854162,1174019871.61077,1060495861.7292379,1094830027.593549
2022-04-11,1145118222.02183,1231561913.8384757,1199208244.4318469,1045151265.9929793,1146928966.6223524,1039776427.8828772,1093760981.4466374
2022-04-12,1157235213.2392826,1250885980.7765822,1204942067.544722,1041141011.2508212,1167241136.5608327,1035789514.277434,1095429123.4266415
2022-04-13,1167188644.5249891,1267863012.577778,1213581435.2948658,1055055783.3069513,1164203704.3554227,1049628599.769074,1102716429.9493058
2022-04-14,1159040552.9922478,1247962877.4892015,1207920887.9941175,1054264433.8875735,1158047942.1231813,1048839222.3375322,1098579844.1060863
2022-04-18,1163196917.8820539,1270190494.1029415,1214234892.541077,1075260245.0856824,1189271089.1804256,1069720134.2466307,1104616173.8823576
2022-04-19,1158784737.891864,1253677054.809495,1201485497.2761176,1068298494.917057,1164004424.3416371,1062795683.1355865,1093068325.541603
2022-04-20,1184945497.3547766,1286355575.0567706,1223344224.1276844,1080496937.444446,1199571505.4122033,1074954949.3788877,1097339320.584847
2022-04-21,1198395554.8763711,1295408076.2762175,1239820376.774767,1095045776.826832,1204448841.5039043,1089442982.4143505,1104753400.263629
2022-04-22,1189154644.7580938,1282682340.672717,1243002089.5567613,1094249988.0497918,1190285040.9207115,1088650336.4688416,1097072726.2752564
2022-04-25,1197938948.9142342,1292451228.7752662,1262383759.4553845,1090784354.5814846,1205486180.1855416,1085211217.5759125,1095611054.0261228
2022-04-26,1219878407.1347234,1271716127.410478,1297091948.3020532,1104057108.1828597,1220664826.3598232,1098415471.3449967,1098066746.437378
2022-04-27,1215542989.7521753,1288580725.725158,1288560619.2822409,1104904633.8628798,1225293737.1688242,1099250987.01578,1092693640.4357438
2022-04-28,1231751889.1507335,1297947983.7250867,1313986834.0487473,1128113357.8529072,1229036514.5594916,1122320129.68651,1097575000.0370684
2022-05-09,1196494943.5929632,1227808754.7727904,1272808712.18355,1085501944.0745614,1183855381.36478,1079924745.8552835,1049116072.31556
2022-05-10,1198068103.4763732,1241374418.5237706,1300303958.7327778,1094759514.30502,1194103902.7799025,1089126450.702986,1035457784.5390129
2022-05-11,1227141298.5050972,1272365198.3200157,1313696423.78269,1094394655.5838456,1223088830.0577404,1088763458.7990162,1034912585.8313577
2022-05-12,1174487685.8718061,1222249295.0208158,1255322975.4620845,1050849616.0377156,1170588674.9054377,1045442487.1827385,1002061880.1274554
2022-05-13,1182724456.4873161,1236555894.3169792,1260990487.2531319,1072594207.8659555,1178759364.4403715,1067075173.3936105,1001781496.457024
2022-05-17,1191077850.5857441,1241644830.8108244,1271167270.328691,1083055640.5485897,1187102924.1738248,1077482776.310203,1008837645.8447319
2022-05-18,1234345215.3458142,1282858187.0136583,1354168812.1896174,1100280732.6745071,1230245518.9797466,1094619242.0092561,1031452494.1691762
2022-05-19,1227194230.2030187,1276890320.468158,1367871045.8565285,1087399953.3030336,1223146682.6403518,1081804749.8417585,1035995421.3391101
