2026-05-13 08:49:11 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-05-13 11:55:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 12:24:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 12:37:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:03:20 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-13 13:24:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:29:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:39:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:40:20 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:40:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:41:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:45:44 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:52:23 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:53:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:55:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:56:02 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-05-13 13:56:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:56:23 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 13:57:08 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 14:04:22 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-05-13 14:04:23 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-13 14:04:24 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 14:05:24 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 14:07:08 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-05-13 14:07:11 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 14:07:12 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-13 14:07:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 14:07:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 14:07:20 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 14:13:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 14:13:23 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 14:56:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 15:09:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 15:09:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 16:04:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 16:55:58 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 16:56:07 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 17:16:49 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 18:39:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 18:39:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 19:47:46 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-05-13 19:47:48 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-13 19:47:49 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 20:41:38 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-13 21:00:00 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-14 00:02:50 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-14 00:06:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-14 03:19:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-14 03:34:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-14 04:33:25 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-14 08:52:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-14 08:52:33 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-14 14:33:40 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-05-14 14:33:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-14 14:33:44 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-14 14:54:14 [info] [remote] network-interface change detected; probing SSH controllers
